"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"1","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Mercury",302,"ng/g","ppb"
"2","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Mercury",144,"ng/g","ppb"
"3","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Mercury",362,"ng/g","ppb"
"4","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Mercury",257,"ng/g","ppb"
"5","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",37.7,"ng/g","ppb"
"6","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",39.1,"ng/g","ppb"
"7","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",63,"ng/g","ppb"
"8","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",227,"ng/g","ppb"
"9","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Mercury",143,"ng/g","ppb"
"10","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",188,"ng/g","ppb"
"11","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",115,"ng/g","ppb"
"12","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",48.8,"ng/g","ppb"
"13","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Mercury",305,"ng/g","ppb"
"14","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",128,"ng/g","ppb"
"15","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",111,"ng/g","ppb"
"16","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",128,"ng/g","ppb"
"17","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",265,"ng/g","ppb"
"18","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",62.1,"ng/g","ppb"
"19","MI","Lake Michigan","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Mercury",29.2,"ng/g","ppb"
"20","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",42.8,"ng/g","ppb"
"21","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",105,"ng/g","ppb"
"22","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",136,"ng/g","ppb"
"23","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",297,"ng/g","ppb"
"24","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Mercury",85.1,"ng/g","ppb"
"25","MI","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",267,"ng/g","ppb"
